Person;Affiliation;PrimaryKey
Editor; Arasi Varthe; np.int64(15)
Editor; Arasi Varthe; np.int64(15)
Editor; Arasi Varthe; np.int64(15)
Editor; Arasi Varthe; np.int64(15)
Editor; Seema Sandesh; np.int64(72)
Editor; Dainik Amber; np.int64(88)
Editor; Amar Ujala; np.int64(125)
Editor; Lakshaydhari; np.int64(129)
Editor; Aaj ka Sanvidhan; np.int64(137)
Editor; Amar Ujala; np.int64(143)
Editor; Ajit; np.int64(146)
Editor; Prabhat Khabar; np.int64(182)
Editor; Awami Salar; np.int64(201)
Editor; Hari Bhoomi; np.int64(213)
Editor; Dabang Dunia; np.int64(217)
Editor; Khandva; np.int64(218)
Editor; D Pulkit; np.int64(219)
Editor; Siwani; np.int64(222)
Editor; Hari Bhoomi; np.int64(227)
Editor; Amar Ujjala; np.int64(231)
Editor; Amar Ujjala; np.int64(231)
Editor; Amar Ujala; np.int64(238)
Editor; Amar Ujala; np.int64(262)
Editor; Amar Ujala; np.int64(265)
Editor; Mid-Day; np.int64(268)
Editor; Dainik Nai Duniya; np.int64(283)
Editor; District Magistrate; np.int64(299)
Editor; Shri. Vijay Trimbak Gokhale; np.int64(317)
Editor; Sakshi; np.int64(327)
Editor; Prajasakthi; np.int64(338)
Editor; Yuvakraanth-kaarigal Asthra; np.int64(343)
Editor; Parivarik Dastak; np.int64(369)
Editor; Dainik Jagarn; np.int64(388)
Editor; Pariwarik Dastak; np.int64(397)
Editor; Pariwarik Dastak; np.int64(397)
Editor; Hari Bhumi; np.int64(398)
Editor; Dainik Jaltedeep; np.int64(412)
Editor; Indraprastha News Reporter; np.int64(415)
Editor; Indraprastha News Reporter; np.int64(415)
Editor; Mid-Day; np.int64(416)
Editor; lucknow; np.int64(437)
Editor; Mid Day; np.int64(493)
Editor; Hum Paanch; np.int64(504)
Editor; Hum Paanch; np.int64(504)
Editor; DainikBhaskar; np.int64(519)
Editor; DainikBhaskar; np.int64(521)
Editor; M.P.; np.int64(522)
Editor; DabangKhabrein; np.int64(545)
Editor; Him Himwanti; np.int64(547)
Editor; M.P.; np.int64(567)
Editor; Railwarta; np.int64(588)
Editor; Amar Ujala; np.int64(598)
Editor; Amar Ujala; np.int64(598)
Editor; Deshabhimani; np.int64(620)
Editor; Parivartanka Daur; np.int64(651)
Editor; Haribhumi; np.int64(658)
Editor; Agniban; np.int64(661)
Editor; Shri lalan Rai; np.int64(664)
Editor; Amar Ujala; np.int64(668)
Editor; The Editor; np.int64(682)
Editor; The Editor; np.int64(683)
Editor; The Editor; np.int64(684)
Editor; The Editor; np.int64(685)
Editor; The Editor; np.int64(686)
Editor; The Editor; np.int64(688)
Editor; The Editor; np.int64(690)
Editor; The Editor; np.int64(691)
Editor; The Editor; np.int64(693)
Editor; The Editor; np.int64(694)
Editor; The Editor; np.int64(696)
Editor; The Editor; np.int64(697)
Editor; The Editor; np.int64(698)
Editor; Dainik Kelo Pravah; np.int64(699)
Editor; The Editor; np.int64(701)
Editor; The Editor; np.int64(703)
Editor; The Editor; np.int64(704)
Editor; The Editor; np.int64(705)
Editor; The Editor; np.int64(706)
Editor; The Editor; np.int64(707)
Editor; The Editor; np.int64(708)
Editor; The Editor; np.int64(709)
Editor; The Editor; np.int64(711)
Editor; The Editor; np.int64(712)
Editor; The Editor; np.int64(713)
Editor; The Editor; np.int64(714)
Editor; The Editor; np.int64(715)
Editor; The Editor; np.int64(716)
Editor; The editor; np.int64(717)
Editor; Jag Utthan; np.int64(735)
Editor; Rashtriya Swaroop; np.int64(768)
Editor; Janvani; np.int64(770)
Editor; Asli Azadi; np.int64(771)
Editor; loksatya; np.int64(789)
Editor; Rashtradoot; np.int64(815)
Editor; Prajavaadi; np.int64(819)
Editor; Odissa; np.int64(820)
Editor; Odissa; np.int64(823)
Editor; Samaya; np.int64(824)
Editor; Prameya; np.int64(825)
Editor; Hamara Mahanagar; np.int64(827)
Editor; Sahafat; np.int64(830)
Editor; Yashobhoomi; np.int64(832)
Editor; Maru lahar; np.int64(843)
Editor; Maru lahar; np.int64(843)
Editor; Maru lehar; np.int64(845)
Editor; Maru lehar; np.int64(845)
Editor; Paschimi Sandesh; np.int64(848)
Editor; Paschimi Sandesh; np.int64(848)
Editor; Dainik; np.int64(850)
Editor; Dainik; np.int64(850)
Editor; Meri Dilli; np.int64(854)
Editor; Meri Dilli; np.int64(854)
Editor; Jag Utthan; np.int64(856)
Editor; Veer Arjun; np.int64(857)
Editor; Lokdarshan; np.int64(905)
Editor; Lokdarshan; np.int64(905)
Editor; Sakal; np.int64(906)
Editor; Sakal; np.int64(906)
Editor; Nyayada Haadi; np.int64(910)
Editor; Nyayada Haadi; np.int64(910)
Editor; Edda Dwani; np.int64(914)
Editor; Bhanu Gunj; np.int64(923)
Editor; Don of India; np.int64(947)
Editor; Jan Madhyam; np.int64(949)
Editor; Rashtra Deepika; np.int64(973)
Editor; Hai GuduguSidiliu; np.int64(977)
Editor; Prajegale Prabhugale; np.int64(979)
Editor; Prajegale Prabhugale; np.int64(979)
Editor; Karunad; np.int64(982)
Editor; Pudhari; np.int64(984)
Editor; Pruthvi; np.int64(985)
Editor; Rajamarg; np.int64(986)
Editor; Rajamarg; np.int64(986)
Editor; Janamitra; np.int64(992)
Editor; Janamitra; np.int64(992)
Editor; Samyukta; np.int64(993)
Editor; Prajavani; np.int64(994)
Editor; Prajavani; np.int64(994)
Editor; MalenaduJothi; np.int64(996)
Editor; MalenaduJothi; np.int64(996)
Editor; Samyuktha Vijaya; np.int64(997)
Editor; Abhimanyu; np.int64(999)
Editor; Abhimanyu; np.int64(999)
Editor; Udayavani; np.int64(1002)
Editor; Udayavani; np.int64(1002)
Editor; Shabdavedi; np.int64(1005)
Editor; Shabdavedi; np.int64(1005)
Editor; Nanjanagud Mithra; np.int64(1006)
Editor; Nanjanagud Mithra; np.int64(1006)
Editor; Mysore Mitra; np.int64(1008)
Editor; Mysore Mitra; np.int64(1008)
Editor; Sakshi; np.int64(1030)
Editor; Sakshi; np.int64(1030)
Editor; Hamro Prajashakti; np.int64(1036)
Editor; Divya Himachal; np.int64(1040)
Editor; Amar Ujala; np.int64(1053)
Editor; C.G.; np.int64(1060)
Editor; C.G.; np.int64(1060)
Editor; Janadhar Sandesh; np.int64(1076)
Editor; Vidhan Kesari; np.int64(1083)
Editor; Nirbhay; np.int64(1088)
Editor; Adinor Sambad; np.int64(1094)
Editor; Sakshi; np.int64(1110)
Editor; Sakshi; np.int64(1110)
Editor; Raj; np.int64(1136)
Editor; Raj; np.int64(1137)
Editor; Umar Ujala; np.int64(1139)
Editor; Amar Ujala; np.int64(1155)
Editor; Leader; np.int64(1156)
Editor; Daudti Dilli; np.int64(1164)
Editor; Amravati Darpan; np.int64(1166)
Editor; M.P.; np.int64(1167)
Editor; Dainik Navjyoti; np.int64(1177)
Editor; Amar Ujala; np.int64(1182)
Editor; Amar Ujala; np.int64(1182)
Editor; Raj; np.int64(1203)
Editor; Raj; np.int64(1204)
Editor; Umar Ujala; np.int64(1206)
Editor; Amar Ujala; np.int64(1222)
Editor; Leader; np.int64(1223)
Editor; Daudti Dilli; np.int64(1231)
Editor; Amravati Darpan; np.int64(1233)
Editor; M.P.; np.int64(1234)
Editor; Dainik Navjyoti; np.int64(1244)
Editor; Amar Ujala; np.int64(1249)
Editor; Amar Ujala; np.int64(1249)
Editor; Dainik Manav Jagat; np.int64(1301)
Editor; Vijay Karnataka; np.int64(1313)
Editor; Sandesh; np.int64(1332)
Editor; Bismil Saptahik; np.int64(1341)
Editor; Bismil Saptahik; np.int64(1341)
Editor; Dainik Aaj; np.int64(1352)
Editor; Amar Ujala; np.int64(1415)
Editor; Ching Tam; np.int64(1456)
Editor; The Conspirator; np.int64(1461)
Editor; Halli Inda Dillige; np.int64(1516)
Editor; Dainik Savera; np.int64(1570)
Editor; Amar Ujala; np.int64(1583)
Editor; Dinamani; np.int64(1585)
Editor; Maalai Malar; np.int64(1586)
Editor; Jugasankha; np.int64(1604)
Editor; Ei-Somoy; np.int64(1605)
Editor; Ebela; np.int64(1607)
Editor; Niyomiya Barta; np.int64(1626)
Editor; Asomiya Pratidin; np.int64(1627)
Editor; Amar Ujala; np.int64(1633)
Editor; Amar Ujala; np.int64(1660)
Editor; Kumudam Reporter; np.int64(1664)
Editor; Neti Mahatma; np.int64(1665)
Editor; Praja Theerpu; np.int64(1666)
Editor; Tamizh Murasu; np.int64(1669)
Editor; Dinakaran; np.int64(1670)
Editor; Benki Bevaru; np.int64(1674)
Editor; Vilmurasu; np.int64(1675)
Editor; Prabhat Khabar; np.int64(1679)
Editor; Prabhat Khabar; np.int64(1681)
Editor; Prabhat Khabar; np.int64(1683)
Editor; Dainik Bhaskar; np.int64(1684)
Editor; M.P.; np.int64(1690)
Editor; Jagriti Lahar; np.int64(1696)
Editor; Amar Ujala; np.int64(1705)
Editor; Amar Ujala; np.int64(1707)
Editor; Hind Darshan; np.int64(1713)
Editor; Dainik Nagarchhaya; np.int64(1718)
Editor; Hiteshi Ki Jung; np.int64(1720)
Editor; Amar Ujala; np.int64(1820)
Editor; Gentleman; np.int64(1892)
Editor; Amar Ujala; np.int64(2033)
Editor; Zymin Ryotu; np.int64(2041)
Editor; Andhra Jyothi; np.int64(2042)
Editor; Aj; np.int64(2067)
Editor; Mandsaur; np.int64(2070)
Editor; M.P.; np.int64(2074)
Editor; M.P.; np.int64(2076)
Editor; Sanjha Lokswami; np.int64(2096)
Editor; Lalit Mashal; np.int64(2105)
Editor; Lalit Mashal; np.int64(2105)
Editor; Swadesh; np.int64(2118)
Editor; Prabhat Khabar; np.int64(2120)
Editor; Amar Ujala; np.int64(2121)
Editor; Dictator; np.int64(2160)
Editor; Mid Day; np.int64(2191)
Editor; Sakshi; np.int64(2200)
Editor; Dainik; np.int64(2221)
Editor; Our Leader; np.int64(2233)
Editor; Lal Kalam; np.int64(2357)
Editor; Amar Ujala; np.int64(2366)
Editor; Dainik Sambad; np.int64(2388)
Editor; Dainik Agradoot; np.int64(2391)
Editor; Dainik Janambhumi; np.int64(2478)
Editor; Amar Ujala; np.int64(2536)
Editor; Amar Ujala; np.int64(2537)
Editor; Poomale; np.int64(2541)
Editor; Veera Sindhura Lakshmana; np.int64(2566)
Editor; Chandrika; np.int64(2575)
Editor; Mitra; np.int64(2709)
Editor; Vijayavada; np.int64(2714)
Editor; Police Saithi; np.int64(3495)
Editor; Malai Murasu; np.int64(3498)
Editor; Rajamarga; np.int64(3717)
Editor; Veer Pratap; np.int64(3737)
Editor; Veer Pratap; np.int64(3737)
Editor; Shikhar Gunj; np.int64(3931)
Editor; Aj; np.int64(3964)
Editor; Amar Ujala; np.int64(3966)
Editor; Dainik Samrat; np.int64(3969)
Editor; Dainik Samrat; np.int64(3969)
Editor; Vani; np.int64(3975)
Editor; Lankesh; np.int64(3977)
Editor; Samaygati; np.int64(3995)
Editor; Amar Ujala; np.int64(3998)
Editor; Sandesh; np.int64(4028)
Editor; Aaj; np.int64(4222)
Editor; Naya; np.int64(4287)
Editor; Ajir Asom; np.int64(4462)
Editor; Amar Ujala; np.int64(4590)
Editor; State King; np.int64(4596)
Editor; Amar Ujala; np.int64(4611)
Editor; Amar Asom; np.int64(4647)
Editor; Amar Asom; np.int64(4648)
Editor; Amar Ujala; np.int64(4698)
Editor; Amar Ujala; np.int64(4699)
Editor; Rana Pratap; np.int64(4719)
Editor; Dinakaran; np.int64(4726)
Editor; Khabre Aaj Tak; np.int64(4775)
Editor; Mind; np.int64(4780)
Editor; Dari Deepa; np.int64(4803)
Editor; Ajir Batori; np.int64(4994)
Editor; Dainik Agradoot; np.int64(4999)
Editor; Tom Tom; np.int64(5004)
Editor; Tarun Bharat; np.int64(5013)
Editor; Bhuvana Sangathi; np.int64(5016)
Editor; Chamakta Aaina; np.int64(5030)
Editor; Pratidin; np.int64(5055)
Editor; Dainik Navjyoti; np.int64(5065)
Editor; Matadar; np.int64(5107)
Editor; Gomantak; np.int64(5113)
Editor; Karavali Munjavu; np.int64(5155)
Editor; Our Leader; np.int64(5227)
the editor; The Editor; np.int64(682)
the editor; The Editor; np.int64(683)
the editor; The Editor; np.int64(684)
the editor; The Editor; np.int64(685)
the editor; The Editor; np.int64(686)
the editor; The Editor; np.int64(688)
the editor; The Editor; np.int64(690)
the editor; The Editor; np.int64(691)
the editor; The Editor; np.int64(693)
the editor; The Editor; np.int64(694)
the editor; The Editor; np.int64(696)
the editor; The Editor; np.int64(697)
the editor; The Editor; np.int64(698)
the editor; The Editor; np.int64(701)
the editor; The Editor; np.int64(703)
the editor; The Editor; np.int64(704)
the editor; The Editor; np.int64(705)
the editor; The Editor; np.int64(706)
the editor; The Editor; np.int64(707)
the editor; The Editor; np.int64(708)
the editor; The Editor; np.int64(709)
the editor; The Editor; np.int64(711)
the editor; The Editor; np.int64(712)
the editor; The Editor; np.int64(713)
the editor; The Editor; np.int64(714)
the editor; The Editor; np.int64(715)
the editor; The Editor; np.int64(716)
the editor; The editor; np.int64(717)
